rewire_id,token,layer,head,mean_gradient_important_score
sexism2022_english-3906,[CLS],0,0,0.0001778091
sexism2022_english-3906,a,0,0,0.0007785221
sexism2022_english-3906,flesh,0,0,0.000992925
sexism2022_english-3906,##light,0,0,0.0043596025
sexism2022_english-3906,costs,0,0,0.00047486418
sexism2022_english-3906,$,0,0,0.0007842229
sexism2022_english-3906,80,0,0,0.00028802647
sexism2022_english-3906,",",0,0,0.00039807885
sexism2022_english-3906,doesn,0,0,0.00092459616
sexism2022_english-3906,',0,0,0.000112164875
sexism2022_english-3906,t,0,0,0.00046796715
sexism2022_english-3906,demand,0,0,0.0010630897
sexism2022_english-3906,more,0,0,0.001021928
sexism2022_english-3906,money,0,0,0.0010909489
sexism2022_english-3906,and,0,0,0.002875451
sexism2022_english-3906,will,0,0,0.002197791
sexism2022_english-3906,never,0,0,0.00051053875
sexism2022_english-3906,accuse,0,0,0.0025026214
sexism2022_english-3906,you,0,0,0.0002376594
sexism2022_english-3906,of,0,0,0.00059566257
sexism2022_english-3906,',0,0,0.00079589087
sexism2022_english-3906,sexual,0,0,0.0021667045
sexism2022_english-3906,assault,0,0,0.00047077963
sexism2022_english-3906,.,0,0,0.00088787323
sexism2022_english-3906,',0,0,0.0003322543
sexism2022_english-3906,win,0,0,0.0030001155
sexism2022_english-3906,/,0,0,0.0017588449
sexism2022_english-3906,win,0,0,0.0022690697
sexism2022_english-3906,/,0,0,0.00068719644
sexism2022_english-3906,win,0,0,0.0015268773
sexism2022_english-3906,[SEP],0,0,0.00038893774
sexism2022_english-3906,[CLS],0,1,0.000255524
sexism2022_english-3906,a,0,1,0.0015184385
sexism2022_english-3906,flesh,0,1,0.001020524
sexism2022_english-3906,##light,0,1,0.0030842319
sexism2022_english-3906,costs,0,1,0.00082484947
sexism2022_english-3906,$,0,1,0.00055049144
sexism2022_english-3906,80,0,1,0.00031414116
sexism2022_english-3906,",",0,1,0.00056376634
sexism2022_english-3906,doesn,0,1,0.0007465902
sexism2022_english-3906,',0,1,0.00012780707
sexism2022_english-3906,t,0,1,0.00035811347
sexism2022_english-3906,demand,0,1,0.0011865946
sexism2022_english-3906,more,0,1,0.00038860037
sexism2022_english-3906,money,0,1,0.0014437947
sexism2022_english-3906,and,0,1,0.00020723604
sexism2022_english-3906,will,0,1,0.00024909916
sexism2022_english-3906,never,0,1,0.0007167844
sexism2022_english-3906,accuse,0,1,0.0022377498
sexism2022_english-3906,you,0,1,9.4119416e-05
sexism2022_english-3906,of,0,1,0.0001391607
sexism2022_english-3906,',0,1,0.0005016763
sexism2022_english-3906,sexual,0,1,0.001467741
sexism2022_english-3906,assault,0,1,0.00070873066
sexism2022_english-3906,.,0,1,0.00067575014
sexism2022_english-3906,',0,1,0.00045355884
sexism2022_english-3906,win,0,1,0.00079270155
sexism2022_english-3906,/,0,1,0.0013802885
sexism2022_english-3906,win,0,1,0.0016733119
sexism2022_english-3906,/,0,1,0.00044498284
sexism2022_english-3906,win,0,1,0.00078840984
sexism2022_english-3906,[SEP],0,1,0.00016672119
sexism2022_english-3906,[CLS],0,2,0.00027850416
sexism2022_english-3906,a,0,2,0.0017980945
sexism2022_english-3906,flesh,0,2,0.0010561515
sexism2022_english-3906,##light,0,2,0.000299248
sexism2022_english-3906,costs,0,2,0.00023630311
sexism2022_english-3906,$,0,2,0.0005233467
sexism2022_english-3906,80,0,2,0.00025098567
sexism2022_english-3906,",",0,2,0.0006432065
sexism2022_english-3906,doesn,0,2,4.7107133e-05
sexism2022_english-3906,',0,2,0.00013857163
sexism2022_english-3906,t,0,2,0.00028782315
sexism2022_english-3906,demand,0,2,0.00033614892
sexism2022_english-3906,more,0,2,0.00016272416
sexism2022_english-3906,money,0,2,5.301368e-05
sexism2022_english-3906,and,0,2,0.00010182027
sexism2022_english-3906,will,0,2,0.000108167034
sexism2022_english-3906,never,0,2,0.00039223884
sexism2022_english-3906,accuse,0,2,0.0006490919
sexism2022_english-3906,you,0,2,0.0011944529
sexism2022_english-3906,of,0,2,0.00032975723
sexism2022_english-3906,',0,2,0.00020179483
sexism2022_english-3906,sexual,0,2,0.000266947
sexism2022_english-3906,assault,0,2,0.0002118217
sexism2022_english-3906,.,0,2,0.0016212156
sexism2022_english-3906,',0,2,0.00044698772
sexism2022_english-3906,win,0,2,0.00040388195
sexism2022_english-3906,/,0,2,0.00038252384
sexism2022_english-3906,win,0,2,0.001429355
sexism2022_english-3906,/,0,2,0.000513093
sexism2022_english-3906,win,0,2,0.00060004374
sexism2022_english-3906,[SEP],0,2,0.0003629789
sexism2022_english-3906,[CLS],0,3,0.000350987
sexism2022_english-3906,a,0,3,0.0018717328
sexism2022_english-3906,flesh,0,3,0.0011233598
sexism2022_english-3906,##light,0,3,0.0031773862
sexism2022_english-3906,costs,0,3,0.0053275335
sexism2022_english-3906,$,0,3,0.0014444024
sexism2022_english-3906,80,0,3,0.00016688244
sexism2022_english-3906,",",0,3,0.0021378347
sexism2022_english-3906,doesn,0,3,0.0012346978
sexism2022_english-3906,',0,3,0.0016233557
sexism2022_english-3906,t,0,3,0.0019269896
sexism2022_english-3906,demand,0,3,0.001508671
sexism2022_english-3906,more,0,3,0.0013014099
sexism2022_english-3906,money,0,3,0.0008193538
sexism2022_english-3906,and,0,3,0.00065190584
sexism2022_english-3906,will,0,3,0.0013419315
sexism2022_english-3906,never,0,3,0.0017727717
sexism2022_english-3906,accuse,0,3,0.0036680347
sexism2022_english-3906,you,0,3,0.0012916989
sexism2022_english-3906,of,0,3,0.0010661229
sexism2022_english-3906,',0,3,0.0015572411
sexism2022_english-3906,sexual,0,3,0.0018578453
sexism2022_english-3906,assault,0,3,0.0040760236
sexism2022_english-3906,.,0,3,0.0020992202
sexism2022_english-3906,',0,3,0.0021998547
sexism2022_english-3906,win,0,3,0.0037078785
sexism2022_english-3906,/,0,3,0.0011845032
sexism2022_english-3906,win,0,3,0.0011337459
sexism2022_english-3906,/,0,3,0.0022423135
sexism2022_english-3906,win,0,3,0.005551719
sexism2022_english-3906,[SEP],0,3,0.00048751882
sexism2022_english-3906,[CLS],0,4,0.00072919595
sexism2022_english-3906,a,0,4,0.0009421323
sexism2022_english-3906,flesh,0,4,0.0019898512
